LORA_ID,X,Y
1,11.21,-94.07
2,-29.79,-83.07
3,-57.79,-125.07
4,-3.79,-158.07
5,-120.79,3.93
6,-82.79,-40.07
7,-162.79,-26.07
8,-134.79,-74.07
9,78.21,75.93
10,155.21,50.93
11,112.21,24.93
12,133.21,100.93
13,74.21,-121.07
14,118.21,-93.07
15,41.21,-76.07
16,80.21,-40.07
17,-53.79,129.93
18,3.21,111.93
19,-2.79,61.93
20,-48.79,56.93
21,460.59,106.33
22,477.00,31.00
23,523.29,44.78
24,512.07,109.28
25,-187.10,-419.80
26,-137.44,-372.02
27,-101.12,-418.56
28,-152.27,-459.11
29,-644.83,-254.68
30,-707.83,-311.41
31,-671.38,-339.63
32,-621.36,-297.94
33,-456.99,330.20
34,-434.86,253.60
35,-484.34,247.70
36,-495.32,308.44
37,-191.99,364.31
38,-240.05,304.57
39,-155.08,317.67
40,-201.27,275.63
